Source data:
n_boxes: 6, m: 5, d: 4, p_change_box: 0.100, nExp = 10000
# 1585, Balls: Red, Blue, Blue, White
# 1586, Balls: Red, Black, Blue, Blue
# 1587, Balls: Red, Red, White, Red
# 1588, Balls: Green, Blue, Blue, Red
# 1589, Balls: Black, Red, Blue, Black
# 1590, Balls: White, Green, Red, White
# 1591, Balls: Blue, Green, Red, White
# 1592, Balls: Black, Black, Blue, Green
# 1593, Balls: Black, Black, Blue, Red
# 1594, Balls: Green, White, Red, Red
# 1595, Balls: Blue, White, White, Blue
# 1596, Balls: Red, Green, Blue, Blue
# 1597, Balls: Blue, Blue, Blue, Black
# 1598, Balls: Blue, Red, Green, Blue
# 1599, Balls: Red, Blue, Green, Red
# 1600, Balls: Blue, Red, White, Blue
# 1601, Balls: Blue, White, Blue, White
# 1602, Balls: Blue, Red, Red, White
# 1603, Balls: Green, White, Green, Blue
# 1604, Balls: Red, Red, Black, Red
# 1605, Balls: Black, Green, White, Black
# 1606, Balls: Red, Blue, Blue, Black
# 1607, Balls: White, Red, Red, Red
# 1608, Balls: Blue, Red, White, Blue
# 1609, Balls: Blue, White, Red, Red
# 1610, Balls: Black, Blue, White, Red
# 1611, Balls: Blue, Green, Green, Blue
# 1612, Balls: Red, Blue, White, Blue
# 1613, Balls: Blue, Blue, Blue, Blue
# 1614, Balls: White, Green, Red, Blue
# 1615, Balls: White, Green, Blue, Black
# 1616, Balls: Green, Blue, Red, White
# 1617, Balls: Blue, White, Blue, Black
# 1618, Balls: Red, Blue, Blue, Blue
# 1619, Balls: Blue, Blue, Red, Green
# 1620, Balls: Blue, White, Blue, Red
# 1621, Balls: Red, Green, Blue, Blue
# 1622, Balls: Red, Black, Blue, Blue
# 1623, Balls: Green, White, Red, Red
# 1624, Balls: Red, Red, Blue, Red
# 1625, Balls: Black, Blue, Red, Green
# 1626, Balls: White, White, Green, Red
# 1627, Balls: Black, Black, Green, Green
# 1628, Balls: White, Red, Blue, Black
# 1629, Balls: Blue, Green, Blue, Blue
# 1630, Balls: Blue, Green, Red, Red
# 1631, Balls: Blue, Blue, Green, Red
# 1632, Balls: Black, Blue, White, Red
# 1633, Balls: Black, Red, Blue, Blue
# 1634, Balls: Green, Black, Green, Green
# 1635, Balls: Green, White, Blue, Blue
# 1636, Balls: Green, Blue, Red, Blue
# 1637, Balls: Red, Red, Red, Black
# 1638, Balls: Red, Red, Green, White
# 1639, Balls: Blue, White, Black, Black
# 1640, Balls: Blue, Blue, Red, Black
# 1641, Balls: Blue, Blue, Blue, Black
# 1642, Balls: White, Red, Black, Blue
# 1643, Balls: Red, Red, Black, Black
# 1644, Balls: Blue, Blue, Green, Green
# 1645, Balls: Green, Red, Red, Blue
# 1646, Balls: Red, White, Black, Blue
# 1647, Balls: Red, Blue, Blue, Red
# 1648, Balls: Red, Red, Blue, Red
# 1649, Balls: Green, Blue, Red, White
# 1650, Balls: White, Black, Black, Green
# 1651, Balls: Black, Black, Blue, Blue
# 1652, Balls: White, White, White, Blue
# 1653, Balls: White, Red, Red, Blue
# 1654, Balls: White, White, Red, Green
# 1655, Balls: Red, Red, Blue, Blue
# 1656, Balls: White, Red, Blue, Green
# 1657, Balls: Blue, Red, Blue, Black
# 1658, Balls: Green, Green, Green, Blue
# 1659, Balls: Red, Green, Red, Red
# 1660, Balls: Red, Blue, Red, White
# 1661, Balls: White, Green, Red, Black
# 1662, Balls: Red, Blue, Green, Green
# 1663, Balls: Blue, Blue, Blue, Red
# 1664, Balls: Blue, White, Green, Green
# 1665, Balls: Blue, Red, Red, White
# 1666, Balls: Blue, Green, Blue, Red
# 1667, Balls: Blue, Black, Black, Black
# 1668, Balls: White, Green, Blue, Blue
# 1669, Balls: Red, White, Green, Red
# 1670, Balls: White, Blue, Red, Red
# 1671, Balls: Blue, Black, White, Red
# 1672, Balls: Blue, Red, Red, Green
# 1673, Balls: Red, Green, Green, Red
# 1674, Balls: Red, Blue, Red, Red
# 1675, Balls: Black, Red, Red, Blue
# 1676, Balls: Black, Green, Red, Blue
# 1677, Balls: Red, Green, Green, Green
# 1678, Balls: Green, Blue, Red, Blue
# 1679, Balls: Red, White, Red, Red
# 1680, Balls: Red, Blue, Black, Blue
# 1681, Balls: Green, Blue, Green, Green
# 1682, Balls: Black, Green, Red, Green
# 1683, Balls: Red, Red, Blue, Blue
# 1684, Balls: Black, Red, Green, Green
# 1685, Balls: White, Red, Blue, Red
# 1686, Balls: Black, Red, Red, White
# 1687, Balls: Red, Blue, Blue, Blue
# 1688, Balls: Blue, Red, Red, Red
# 1689, Balls: White, Red, Green, Blue
# 1690, Balls: Blue, White, Green, Green
# 1691, Balls: Red, Red, White, Red
# 1692, Balls: Blue, Red, Red, Black
# 1693, Balls: White, Black, Red, Red
# 1694, Balls: Blue, Black, Red, White
# 1695, Balls: Black, Red, White, Red
# 1696, Balls: Blue, Blue, White, Green
# 1697, Balls: Red, Black, Blue, Blue
# 1698, Balls: Blue, Black, Blue, Green
# 1699, Balls: Blue, White, Red, Red
# 1700, Balls: Green, White, Green, Black
# 1701, Balls: Blue, Red, Red, Black
# 1702, Balls: Red, White, White, Red
# 1703, Balls: Red, Green, Blue, Red
# 1704, Balls: Red, Red, Red, White
# 1705, Balls: Green, Blue, Blue, Blue
# 1706, Balls: Blue, Blue, White, Red
# 1707, Balls: Green, White, Blue, Blue
# 1708, Balls: Blue, Green, Red, Green
# 1709, Balls: Black, Red, Red, White
# 1710, Balls: Black, Blue, Red, White
# 1711, Balls: Black, Green, Blue, White
# 1712, Balls: Green, Red, Black, Black
# 1713, Balls: White, Black, Blue, White
# 1714, Balls: Blue, Green, Green, Red
# 1715, Balls: Red, White, Blue, Red
# 1716, Balls: Black, White, White, Blue
# 1717, Balls: Red, Black, Red, Red
# 1718, Balls: Blue, Green, Red, Black
# 1719, Balls: Red, Blue, White, Blue
# 1720, Balls: White, Blue, Green, Red
# 1721, Balls: Red, Red, Blue, Black
# 1722, Balls: Blue, Green, Blue, Green
# 1723, Balls: Green, Red, Black, Blue
# 1724, Balls: Red, Blue, Red, Green
# 1725, Balls: Blue, Black, Blue, White
# 1726, Balls: Blue, Red, Red, White
# 1727, Balls: Green, White, Green, Green
# 1728, Balls: Red, Blue, Green, Blue
# 1729, Balls: Green, Red, Green, Blue
# 1730, Balls: Green, Red, Blue, Red
# 1731, Balls: Black, Red, Green, Green
# 1732, Balls: Green, Red, Red, Blue
# 1733, Balls: Green, Red, Red, Red
# 1734, Balls: White, White, Red, Blue
# 1735, Balls: Blue, Green, Blue, Blue
# 1736, Balls: Green, Red, Green, White
# 1737, Balls: Blue, Black, Red, Black
# 1738, Balls: Red, Blue, Green, Green
# 1739, Balls: White, Red, Red, Red
# 1740, Balls: Blue, Blue, Red, Red
# 1741, Balls: White, Red, Red, Blue
# 1742, Balls: Red, Blue, Red, Green
# 1743, Balls: Blue, Blue, Red, Red
# 1744, Balls: Blue, Green, Blue, White
# 1745, Balls: Red, Red, Red, White
# 1746, Balls: Blue, Blue, Red, White
# 1747, Balls: White, Green, Green, Green
# 1748, Balls: Blue, Blue, White, Red
# 1749, Balls: Red, Green, Green, Black
# 1750, Balls: White, White, Green, Green
# 1751, Balls: Black, Blue, Red, Blue
# 1752, Balls: Blue, Blue, Black, Blue
# 1753, Balls: Black, Red, Red, Black
# 1754, Balls: Blue, Red, Blue, Red
# 1755, Balls: Black, Blue, Black, Red
# 1756, Balls: Blue, Red, Red, Red
# 1757, Balls: Black, Blue, Blue, Blue
# 1758, Balls: Black, Blue, Blue, Blue
# 1759, Balls: Blue, Red, White, Blue
# 1760, Balls: Blue, Black, White, Red
# 1761, Balls: Red, Green, Black, Black
# 1762, Balls: Blue, Blue, Green, Red
# 1763, Balls: Blue, Red, Green, Red
# 1764, Balls: Blue, Blue, Blue, Blue
# 1765, Balls: Black, Black, Green, Blue
# 1766, Balls: White, White, Green, Green
# 1767, Balls: Red, White, Green, Green
# 1768, Balls: White, Red, Black, Blue
# 1769, Balls: Red, Red, Red, Green
# 1770, Balls: White, Red, Red, Red
# 1771, Balls: Red, Red, Red, Blue
# 1772, Balls: Blue, White, Blue, White
# 1773, Balls: White, Blue, White, Red
# 1774, Balls: Red, Green, Blue, Blue
# 1775, Balls: Blue, Red, Green, White
# 1776, Balls: Blue, Blue, Blue, Black
# 1777, Balls: Black, Black, Red, Black
# 1778, Balls: Blue, Red, Black, Blue
# 1779, Balls: Red, Red, Blue, Blue
# 1780, Balls: Black, White, White, Red
# 1781, Balls: Blue, Red, Red, Blue
# 1782, Balls: Blue, Blue, Blue, Green
# 1783, Balls: Green, Green, Green, White
# 1784, Balls: Blue, Red, Red, Blue
# 1785, Balls: White, Red, Blue, Blue
# 1786, Balls: Green, Red, White, White
# 1787, Balls: Red, Blue, Blue, Blue
# 1788, Balls: Red, Black, Blue, Red
# 1789, Balls: White, Blue, Green, Red
# 1790, Balls: Blue, Green, Blue, Blue
# 1791, Balls: Red, Red, Red, Red
# 1792, Balls: Blue, Blue, Green, Green
# 1793, Balls: White, Blue, Blue, Red
# 1794, Balls: Blue, Black, Green, White
# 1795, Balls: Black, Red, Red, Green
# 1796, Balls: Red, Green, Red, Green
# 1797, Balls: Red, White, Red, White
# 1798, Balls: Blue, Green, Red, Green
# 1799, Balls: Green, Black, White, Black
# 1800, Balls: Red, Blue, Green, Green
# 1801, Balls: Black, Blue, Red, Blue
# 1802, Balls: White, Red, Red, White
# 1803, Balls: Green, White, Blue, Green
# 1804, Balls: Blue, Red, Blue, Red
# 1805, Balls: Black, Red, Blue, Green
# 1806, Balls: White, Blue, Green, Green
# 1807, Balls: Red, Blue, Blue, Green
# 1808, Balls: Red, White, Red, Black
# 1809, Balls: Red, Red, Black, Green
# 1810, Balls: Red, Red, Black, Blue
# 1811, Balls: Blue, Green, Blue, Blue
# 1812, Balls: White, Red, Blue, Black
# 1813, Balls: Blue, Red, Red, Red
# 1814, Balls: Blue, Green, Blue, Blue
# 1815, Balls: Red, Red, Red, Red
# 1816, Balls: Red, Red, Black, Red
# 1817, Balls: Green, Black, Black, Blue
# 1818, Balls: White, White, White, Black
# 1819, Balls: Blue, Blue, White, Red
# 1820, Balls: Black, Blue, Green, Black
# 1821, Balls: Blue, Red, Red, Red
# 1822, Balls: Blue, Green, Black, Blue
# 1823, Balls: White, Blue, Red, Green
# 1824, Balls: Blue, White, Red, White
# 1825, Balls: White, Black, Blue, Blue
# 1826, Balls: Red, Black, Blue, Green
# 1827, Balls: Red, Red, Blue, Green
# 1828, Balls: Red, Blue, White, Red
# 1829, Balls: Red, Blue, Blue, White
# 1830, Balls: Blue, Blue, Green, White
# 1831, Balls: Blue, White, Black, Red
# 1832, Balls: Black, Blue, Blue, Black
# 1833, Balls: Blue, White, White, Blue
# 1834, Balls: White, Blue, Green, White
# 1835, Balls: Red, White, Green, Red
# 1836, Balls: Green, Green, Green, Red
# 1837, Balls: White, Green, Black, Blue
# 1838, Balls: Red, Blue, Green, White
# 1839, Balls: White, Green, Green, Blue
# 1840, Balls: Blue, Red, Green, Blue
# 1841, Balls: Green, Black, Green, Black
# 1842, Balls: Green, White, Red, Black
# 1843, Balls: White, Red, Red, White
# 1844, Balls: Red, Blue, Red, White
# 1845, Balls: Blue, White, Green, Red
# 1846, Balls: Blue, Green, Green, Red
# 1847, Balls: Green, Red, Black, Blue
# 1848, Balls: Red, Black, Black, Green
# 1849, Balls: Red, Red, Green, Blue
# 1850, Balls: White, Blue, Blue, Blue
# 1851, Balls: White, Red, Black, White
# 1852, Balls: Red, Blue, Black, Green
# 1853, Balls: White, Green, Black, White
# 1854, Balls: Blue, Black, Blue, Red
# 1855, Balls: Green, Red, Green, Blue
# 1856, Balls: Red, Black, Red, Black
# 1857, Balls: White, White, Blue, Blue
# 1858, Balls: Green, Green, Blue, Black
# 1859, Balls: Black, Black, Green, Blue
# 1860, Balls: White, White, Blue, Red
# 1861, Balls: Green, Green, Blue, Green
# 1862, Balls: Red, Blue, Green, White
# 1863, Balls: Blue, Blue, Blue, Blue
# 1864, Balls: White, White, Blue, Red
# 1865, Balls: White, Blue, White, Red
# 1866, Balls: Blue, Red, Green, Red
# 1867, Balls: Red, Black, White, Blue
# 1868, Balls: Blue, White, Red, Black
# 1869, Balls: Blue, Red, Blue, Red
# 1870, Balls: Green, Red, Blue, Green
# 1871, Balls: Black, Green, Green, Green
# 1872, Balls: Black, Red, Red, Red
# 1873, Balls: Blue, Green, Red, Blue
# 1874, Balls: Red, Red, Black, Red
# 1875, Balls: Blue, Blue, Red, White
# 1876, Balls: Blue, Red, Red, Red
# 1877, Balls: Blue, White, Red, Red
# 1878, Balls: White, Blue, Green, Blue
# 1879, Balls: Red, Red, Red, Red
# 1880, Balls: White, Blue, Blue, Red
# 1881, Balls: Green, Red, Red, Red
# 1882, Balls: Green, Red, Red, Blue
# 1883, Balls: Green, White, Black, White
# 1884, Balls: Black, Green, White, Red
# 1885, Balls: Black, Blue, White, Green
# 1886, Balls: Black, Blue, Blue, Red
# 1887, Balls: Red, Blue, Red, Blue
# 1888, Balls: White, Red, Blue, Green
# 1889, Balls: Blue, Green, White, Blue
# 1890, Balls: Red, White, White, Blue
# 1891, Balls: Red, Red, White, Blue
# 1892, Balls: Green, Blue, Green, Black
# 1893, Balls: Red, Red, White, Blue
# 1894, Balls: Blue, Black, Red, Black
# 1895, Balls: Red, White, Blue, Blue
# 1896, Balls: Red, Blue, Red, Black
# 1897, Balls: Red, Green, Red, Red
# 1898, Balls: Black, Black, Blue, Green
# 1899, Balls: Blue, Black, Blue, Blue
# 1900, Balls: Red, Blue, Green, Black
# 1901, Balls: Blue, Green, Red, White
# 1902, Balls: Red, Blue, Blue, Blue
# 1903, Balls: Blue, White, Blue, Red
# 1904, Balls: White, White, Red, Green
# 1905, Balls: White, Blue, White, Black
# 1906, Balls: Blue, Blue, Red, Red
# 1907, Balls: White, Red, Red, Blue
# 1908, Balls: Blue, White, Blue, Red
# 1909, Balls: Red, Green, Black, White
# 1910, Balls: Green, Blue, White, Black
# 1911, Balls: Red, Red, Blue, Green
# 1912, Balls: White, Red, Green, Red
# 1913, Balls: Green, Green, Black, Blue
# 1914, Balls: Red, Blue, Red, Red
# 1915, Balls: White, Green, Red, Red
# 1916, Balls: Green, Black, White, Blue
# 1917, Balls: Blue, Red, Green, Green
# 1918, Balls: Red, Black, Red, White
# 1919, Balls: Black, Blue, Green, Blue
# 1920, Balls: Black, White, Green, Green
# 1921, Balls: Red, White, Red, White
# 1922, Balls: Blue, Green, Green, Red
# 1923, Balls: Red, Blue, Red, Blue
# 1924, Balls: White, Green, Blue, Green
# 1925, Balls: Blue, Red, Black, Black
# 1926, Balls: Red, Green, Blue, Blue
# 1927, Balls: Red, Red, Green, Blue
# 1928, Balls: Blue, White, White, Black
# 1929, Balls: Red, Red, Green, Blue
# 1930, Balls: White, Red, Blue, Red
# 1931, Balls: Green, Red, Blue, Red
# 1932, Balls: Blue, Blue, Red, Blue
# 1933, Balls: Red, Red, Red, Red
# 1934, Balls: Blue, Green, Blue, Red
# 1935, Balls: Red, Blue, White, Blue
# 1936, Balls: Black, Red, Green, Blue
# 1937, Balls: Green, White, Red, Red
# 1938, Balls: Blue, Blue, Red, Black
# 1939, Balls: Blue, Green, Blue, White
# 1940, Balls: Red, Green, Red, White
# 1941, Balls: Blue, Green, Blue, White
# 1942, Balls: Green, Red, Blue, Red
# 1943, Balls: Blue, Blue, Black, Blue
# 1944, Balls: Black, Blue, Black, Green
# 1945, Balls: Green, White, White, White
# 1946, Balls: Blue, Green, Black, Red
# 1947, Balls: White, Red, Black, Green
# 1948, Balls: Black, Red, Red, Red
# 1949, Balls: White, Black, Blue, Black
# 1950, Balls: Blue, Blue, White, Red
# 1951, Balls: Red, Green, Red, Blue
# 1952, Balls: White, Red, White, Blue
# 1953, Balls: Red, Black, White, Red
# 1954, Balls: White, Black, White, Black
# 1955, Balls: Blue, Green, Black, Blue
# 1956, Balls: Green, White, Red, Blue
# 1957, Balls: Red, Blue, Green, White
# 1958, Balls: Green, Green, Blue, Red
# 1959, Balls: Blue, Green, Blue, Red
# 1960, Balls: Red, Red, Blue, Red
# 1961, Balls: Green, Blue, Blue, Red
# 1962, Balls: Black, Red, Black, Green
# 1963, Balls: Green, Black, Blue, Green
# 1964, Balls: Blue, Black, Black, Black
# 1965, Balls: Red, White, Red, White
# 1966, Balls: Blue, Red, Green, Red
# 1967, Balls: Blue, Red, Black, White
# 1968, Balls: Red, Red, Red, Blue
# 1969, Balls: White, Red, Blue, White
# 1970, Balls: Blue, Blue, White, Blue
# 1971, Balls: White, Blue, White, Green
# 1972, Balls: Blue, White, Blue, Red
# 1973, Balls: Red, Blue, Blue, Green
# 1974, Balls: Blue, White, White, White
# 1975, Balls: White, Green, Blue, Blue
# 1976, Balls: Red, Red, Green, White
# 1977, Balls: Black, Green, White, Black
# 1978, Balls: Red, Red, Blue, Blue
# 1979, Balls: White, Blue, Blue, White
# 1980, Balls: Blue, Blue, White, Green
# 1981, Balls: Blue, Blue, Blue, Red
# 1982, Balls: Red, Blue, Red, White
# 1983, Balls: Green, Blue, Blue, Blue
# 1984, Balls: Blue, Green, Green, Red
# 1985, Balls: Blue, Blue, Red, Red
# 1986, Balls: Green, Blue, Blue, Red
# 1987, Balls: White, Blue, Blue, Red
# 1988, Balls: White, Red, Black, White
# 1989, Balls: Blue, White, Red, Black
# 1990, Balls: Black, Blue, Red, Black
# 1991, Balls: Blue, Red, White, Blue
# 1992, Balls: Red, Blue, Red, Red
# 1993, Balls: Red, Red, Blue, Red
# 1994, Balls: White, Red, Red, Green
# 1995, Balls: Blue, Green, Black, White
# 1996, Balls: Green, Red, Black, White
# 1997, Balls: Black, Blue, Red, Blue
# 1998, Balls: Green, Red, Blue, Red
# 1999, Balls: Red, Green, Green, Red
# 2000, Balls: Blue, White, Black, Green
# 2001, Balls: Red, White, Blue, Black
# 2002, Balls: White, Red, White, White
# 2003, Balls: Red, Green, Black, Red
# 2004, Balls: Red, Green, Red, White
# 2005, Balls: Green, Green, Blue, Red
# 2006, Balls: Blue, Green, Green, Black
# 2007, Balls: Blue, White, Blue, Red
# 2008, Balls: Green, Green, Red, Red
# 2009, Balls: Blue, Green, Blue, Blue
# 2010, Balls: Black, Blue, Red, Red
# 2011, Balls: Blue, Blue, Black, Black
# 2012, Balls: Black, Blue, Blue, White
# 2013, Balls: Black, White, White, Red
# 2014, Balls: Red, Blue, White, Red
# 2015, Balls: Blue, White, Black, Red
# 2016, Balls: Black, Green, Blue, Red
# 2017, Balls: Red, Blue, Blue, Blue
# 2018, Balls: Red, Blue, White, Red
# 2019, Balls: Green, White, Black, Red
# 2020, Balls: Green, Black, Black, Black
# 2021, Balls: Red, Black, Black, Black
# 2022, Balls: Green, Blue, White, Red
# 2023, Balls: Blue, Green, Red, Blue
# 2024, Balls: Black, Red, Black, Blue
# 2025, Balls: White, White, Black, White
# 2026, Balls: Black, Red, Black, Black
# 2027, Balls: Blue, Blue, Blue, Green
# 2028, Balls: Red, Blue, Green, Blue
# 2029, Balls: Blue, Green, Red, Blue
# 2030, Balls: Red, Blue, Green, White
# 2031, Balls: Blue, Blue, Red, Black
# 2032, Balls: White, Blue, Red, Red
# 2033, Balls: Green, Blue, Black, Blue
# 2034, Balls: Blue, White, Red, Blue
# 2035, Balls: Red, Red, Blue, Red
# 2036, Balls: White, Green, Green, Blue
# 2037, Balls: Green, Green, Black, White
# 2038, Balls: Blue, Red, Red, White
# 2039, Balls: White, Blue, Red, Blue
# 2040, Balls: Black, Blue, Red, Blue
# 2041, Balls: Blue, Red, Blue, Red
# 2042, Balls: Blue, Green, Blue, Green
# 2043, Balls: Red, Green, Red, Black
# 2044, Balls: White, Red, White, Red
# 2045, Balls: Blue, Green, Green, Blue
# 2046, Balls: Green, Red, Blue, Green
# 2047, Balls: Green, White, Black, Red
# 2048, Balls: Red, Black, Green, Red
# 2049, Balls: Red, Black, Green, Blue
# 2050, Balls: Red, Red, White, Blue
# 2051, Balls: Blue, Blue, Black, White
# 2052, Balls: Black, Blue, Black, Blue
# 2053, Balls: Black, Green, Red, Red
# 2054, Balls: Black, White, Red, Black
# 2055, Balls: Red, Red, Green, Green
# 2056, Balls: Black, Green, Green, Green
# 2057, Balls: Red, Blue, Blue, Red
# 2058, Balls: Blue, Blue, White, Blue
# 2059, Balls: Green, Red, Red, Green
# 2060, Balls: Blue, Red, Blue, Red
# 2061, Balls: Red, Blue, White, Red
# 2062, Balls: Blue, Green, Red, Blue
# 2063, Balls: White, Red, Red, Black
# 2064, Balls: Green, Red, White, Red
# 2065, Balls: Blue, White, Red, Blue
# 2066, Balls: Red, Red, White, Blue
# 2067, Balls: White, Red, Green, Black
# 2068, Balls: Red, Red, White, Blue
# 2069, Balls: Red, Blue, Red, Green
# 2070, Balls: Red, Black, White, Red
# 2071, Balls: Blue, Red, Red, Red
# 2072, Balls: Green, Blue, Green, Blue
# 2073, Balls: Blue, Blue, Green, Red
# 2074, Balls: Red, Green, Green, White
# 2075, Balls: Red, Blue, Red, Red
# 2076, Balls: Black, Green, Green, Blue
# 2077, Balls: Red, White, Black, White
# 2078, Balls: Blue, Green, Red, Black
# 2079, Balls: Black, White, Red, White
# 2080, Balls: White, Red, Green, Black
# 2081, Balls: Black, Blue, Blue, Green
# 2082, Balls: Blue, Green, Blue, Blue
# 2083, Balls: Red, Green, Red, Red
# 2084, Balls: White, Blue, White, White
# 2085, Balls: Green, Blue, Black, Blue
# 2086, Balls: Red, Blue, Green, White
# 2087, Balls: Red, Blue, Green, Green
# 2088, Balls: Blue, Red, Blue, White
# 2089, Balls: Black, Black, Green, Green
# 2090, Balls: Green, Black, Blue, Red
# 2091, Balls: White, Green, White, Green
# 2092, Balls: Black, Black, White, Green
# 2093, Balls: Red, Red, Red, White
# 2094, Balls: Green, Blue, Red, Red
# 2095, Balls: Blue, White, Red, Black
# 2096, Balls: Red, White, Red, Red
# 2097, Balls: Blue, Black, Blue, Black
# 2098, Balls: Red, Black, Red, White
# 2099, Balls: Blue, Red, Red, White
# 2100, Balls: Green, White, Green, Red
# 2101, Balls: Red, Green, Green, Red
# 2102, Balls: Blue, White, Green, Red
# 2103, Balls: Red, Green, Green, Red
# 2104, Balls: Blue, Green, White, Black
# 2105, Balls: Blue, Black, Red, Blue
# 2106, Balls: Red, Green, Black, Red
# 2107, Balls: Green, Blue, Red, Black
# 2108, Balls: White, Red, Red, Green
# 2109, Balls: White, Blue, Red, Green
# 2110, Balls: Green, Green, Red, Red
# 2111, Balls: Red, Blue, White, Red
# 2112, Balls: White, Blue, Blue, Red
# 2113, Balls: Red, Red, Blue, Green
# 2114, Balls: Red, Red, White, Red
# 2115, Balls: Black, Blue, Black, Black
# 2116, Balls: White, Red, Red, Red
# 2117, Balls: Green, Red, Blue, Black
# 2118, Balls: Black, Black, Blue, Blue
# 2119, Balls: Blue, Red, Red, Red
# 2120, Balls: Blue, Green, Green, Green
# 2121, Balls: White, Black, Black, White
# 2122, Balls: Blue, Red, White, Red
# 2123, Balls: Blue, Red, Red, Red
# 2124, Balls: White, Black, Red, White
# 2125, Balls: Red, Red, White, Blue
# 2126, Balls: Blue, Red, Red, Green
# 2127, Balls: Red, Red, White, Blue
# 2128, Balls: Red, Red, Blue, White
# 2129, Balls: Green, Green, Blue, Green
# 2130, Balls: Blue, Green, Blue, White
# 2131, Balls: White, Blue, Red, Red
# 2132, Balls: Red, Blue, Black, Green
# 2133, Balls: Red, Blue, Red, Green
# 2134, Balls: Red, Blue, White, Red
# 2135, Balls: Red, Red, Red, Green
# 2136, Balls: Blue, Blue, Blue, Green
# 2137, Balls: Blue, Red, Red, Red
# 2138, Balls: Green, Green, Red, Blue
# 2139, Balls: Green, Blue, Blue, White
# 2140, Balls: Red, White, Red, Red
# 2141, Balls: Red, Red, Blue, Black
# 2142, Balls: White, Red, Black, Blue
# 2143, Balls: Red, Red, White, Blue
# 2144, Balls: Red, Red, White, Blue
# 2145, Balls: Blue, Blue, Red, Blue
# 2146, Balls: Red, Red, White, Blue
# 2147, Balls: Green, Red, Red, Blue
# 2148, Balls: Black, Green, Green, Black
# 2149, Balls: Red, Red, White, Red
# 2150, Balls: Red, Blue, Red, Blue
# 2151, Balls: Blue, Red, Green, Blue
# 2152, Balls: Green, White, Blue, Blue
# 2153, Balls: Blue, White, White, Green
# 2154, Balls: Red, White, White, Red
# 2155, Balls: Black, Blue, Blue, Blue
# 2156, Balls: Blue, Blue, Blue, Red
# 2157, Balls: Blue, Red, Green, Red
# 2158, Balls: Green, Red, Red, White
# 2159, Balls: Red, Black, Red, Red
# 2160, Balls: Black, Blue, Blue, Black
# 2161, Balls: Red, Red, Red, Blue
# 2162, Balls: Blue, Blue, Green, Red
# 2163, Balls: White, Red, White, White
# 2164, Balls: Red, Blue, White, Red
# 2165, Balls: Blue, Red, Blue, Blue
# 2166, Balls: Green, Black, Blue, Green
# 2167, Balls: Red, Black, Blue, Blue
# 2168, Balls: Blue, Red, Blue, Red
# 2169, Balls: Green, Red, Red, Red
# 2170, Balls: Black, Blue, Blue, Blue
# 2171, Balls: White, Green, White, White
# 2172, Balls: Red, Blue, Red, Black
# 2173, Balls: Blue, Red, White, Black
# 2174, Balls: Red, Green, Red, Red
# 2175, Balls: Blue, Red, White, White
# 2176, Balls: Red, Green, White, Red
# 2177, Balls: Blue, Black, Red, Red
# 2178, Balls: Blue, Black, Black, Blue
# 2179, Balls: Red, Green, Red, Black
# 2180, Balls: Blue, White, Blue, Blue
# 2181, Balls: Red, Blue, Blue, Blue
# 2182, Balls: Blue, Blue, Red, Red
# 2183, Balls: Red, White, Red, Green
# 2184, Balls: Black, White, Blue, Red
# 2185, Balls: Red, Green, Red, Blue
# 2186, Balls: Red, Red, Blue, White
# 2187, Balls: Blue, Red, Red, Red
# 2188, Balls: Green, Black, Red, Green
# 2189, Balls: Blue, White, Blue, Black
# 2190, Balls: Red, Black, Blue, Blue
# 2191, Balls: Blue, Red, Green, White
# 2192, Balls: Black, White, Black, Red
# 2193, Balls: Red, Red, White, White
# 2194, Balls: Green, Black, Green, Blue
# 2195, Balls: Blue, Blue, Red, Black
# 2196, Balls: Red, Blue, White, Red
# 2197, Balls: Red, White, Blue, Green
# 2198, Balls: White, Red, Blue, Black
# 2199, Balls: Black, Green, White, Black
# 2200, Balls: Blue, White, Red, Blue
# 2201, Balls: Red, Red, Blue, Blue
# 2202, Balls: Green, Black, Blue, Green
# 2203, Balls: White, Blue, Red, Red
# 2204, Balls: Red, Green, Red, White
# 2205, Balls: White, Green, Red, White
# 2206, Balls: Black, Red, Blue, Green
# 2207, Balls: White, Black, Red, Red
# 2208, Balls: White, Blue, Blue, White
# 2209, Balls: Blue, Red, Red, Blue
# 2210, Balls: Blue, Red, White, Blue
# 2211, Balls: White, White, Green, Green
# 2212, Balls: White, Blue, Red, Green
# 2213, Balls: Black, White, Green, White
# 2214, Balls: Red, Green, Red, Blue
# 2215, Balls: Red, White, Green, Green
# 2216, Balls: White, Red, Green, Red
# 2217, Balls: Blue, Red, Blue, Blue
# 2218, Balls: Red, White, Red, Blue
# 2219, Balls: Green, Blue, Red, Black
# 2220, Balls: White, Blue, Green, Red
# 2221, Balls: Red, White, White, Blue
# 2222, Balls: Black, Green, Blue, Green
# 2223, Balls: Blue, Blue, Blue, Blue
# 2224, Balls: Black, Green, Red, Red
# 2225, Balls: Green, Blue, White, Blue
# 2226, Balls: Blue, Black, Blue, White
# 2227, Balls: Red, Black, Red, White
# 2228, Balls: Black, White, Red, Red
# 2229, Balls: White, Blue, Red, White
# 2230, Balls: Green, Green, Red, Red
# 2231, Balls: Green, Green, Red, Red
# 2232, Balls: Blue, Blue, White, White
